transport_id,vehicle_id,carrier_id,route_id,depot_id,driver_id,distance_miles,planned_duration,actual_duration,fuel_cost,total_cost,capacity_utilization,empty_miles,CO2_emission
T-00489,VH-0049,C-004,R-060,D-MID,DR-0184,302,6.2,7.5,152.51,843.54,62,36,196.9
T-00490,VH-0050,C-005,R-032,D-SCO,DR-0080,90,2.1,4.0,35.01,205.61,92,11,64.2
T-00491,VH-0148,C-002,R-043,D-STH,DR-0154,85,1.9,4.0,28.56,442.86,85,26,101.2
T-00492,VH-0176,C-003,R-040,D-MID,DR-0151,333,6.5,11.0,170.17,1483.71,96,107,234.6
T-00493,VH-0108,C-002,R-019,D-NTH,DR-0129,52,1.4,2.4,24.48,273.96,50,8,42.7
T-00494,VH-0102,C-004,R-010,D-WAL,DR-0132,171,4.0,6.9,55.19,376.68,54,4,137.1
T-00495,VH-0039,C-004,R-060,D-STH,DR-0076,302,6.2,7.5,129.01,727.81,84,6,255.0
T-00496,VH-0116,C-005,R-061,D-STH,DR-0080,223,5.9,6.3,86.11,458.41,90,21,231.1
T-00497,VH-0066,C-006,R-051,D-NTH,DR-0085,57,1.1,2.4,18.64,323.97,81,18,44.5
T-00498,VH-0124,C-004,R-034,D-WAL,DR-0027,155,3.1,4.3,78.55,342.48,51,4,174.4
T-00499,VH-0035,C-006,R-059,D-STH,DR-0149,185,3.8,6.6,106.87,912.13,55,26,212.1
T-00500,VH-0062,C-004,R-004,D-MID,DR-0014,404,10.6,15.0,151.67,1249.78,70,45,464.8
